pitcher,annual_rate,total_gs,seasons_used,Apr_rate,Apr_gs,Apr_lift,May_rate,May_gs,May_lift,Jun_rate,Jun_gs,Jun_lift,Jul_rate,Jul_gs,Jul_lift,Aug_rate,Aug_gs,Aug_lift,Sep_rate,Sep_gs,Sep_lift,player_name,rank,xfp_rp3_per_start_sched,gs_to,remaining_weights,ros_weighted_lift_pct
621121,12.239,66,4,,10,,11.027,15,-9.9,12.045,11,-1.6,9.725,12,-20.5,,9,,,9,,"McCullers Jr., Lance",145.0,8.13,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-10.7
527054,10.492,71,3,,11,,,11,,8.86,15,-15.6,9.893,14,-5.7,,10,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-10.7
592826,8.682,83,5,11.425,20,31.6,11.4,13,31.3,10.421,14,20.0,7.033,12,-19.0,,10,,2.793,14,-67.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-11.0
663460,8.895,66,4,8.775,12,-1.4,,8,,6.962,13,-21.7,8.693,14,-2.3,,11,,,8,,"Bubic, Kris",34.0,10.51,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-12.0
656731,9.069,67,5,12.967,15,43.0,,11,,4.683,12,-48.4,,5,,,11,,11.277,13,24.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-12.0
671106,8.067,67,3,,10,,7.05,16,-12.6,7.02,15,-13.0,,8,,,10,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-12.8
694297,9.469,78,3,,10,,6.031,16,-36.3,,11,,,9,,8.553,17,-9.7,9.687,15,2.3,"Pfaadt, Brandon",111.0,9.22,3.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-13.0
592866,8.46,124,7,10.762,32,27.2,8.676,34,2.6,7.24,15,-14.4,5.793,14,-31.5,9.06,15,7.1,6.0,14,-29.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-13.7
669022,10.413,98,4,13.7,20,31.6,13.915,20,33.6,9.221,19,-11.4,4.369,16,-58.0,7.593,15,-27.1,,8,,"Gore, MacKenzie",52.0,10.27,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-18.3
663559,8.917,71,4,9.237,16,3.6,,11,,,10,,,9,,7.483,12,-16.1,6.746,13,-24.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-20.2
456034,11.835,57,3,,10,,,9,,,10,,9.38,15,-20.7,,9,,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-20.7
680686,9.271,69,3,,10,,,11,,,10,,,9,,7.72,15,-16.7,6.943,14,-25.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-20.9
456501,9.633,63,5,,7,,,8,,,9,,9.586,14,-0.5,7.567,12,-21.5,5.708,13,-40.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-20.9
672282,9.706,72,4,10.836,14,11.6,7.923,13,-18.4,,9,,,9,,4.877,13,-49.8,10.007,14,3.1,"Detmers, Reid",43.0,11.93,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-21.9
681857,11.431,52,3,,10,,,8,,,11,,8.68,10,-24.1,,5,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-24.1
453562,7.187,76,3,11.481,16,59.8,9.873,15,37.4,2.856,16,-60.3,,10,,3.9,11,-45.7,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-27.1
656629,9.053,51,3,,9,,,10,,,11,,,8,,6.408,13,-29.2,,0,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-29.2
518774,7.197,63,3,7.529,14,4.6,3.679,14,-48.9,,11,,,9,,,10,,,5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-48.9
592717,6.532,56,4,10.833,15,65.8,3.106,16,-52.4,,10,,,5,,,7,,,3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-52.4
430935,11.265,57,2,,11,,,9,,,11,,,4,,,12,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
467100,8.231,62,2,,10,,,11,,,10,,,10,,,11,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
468504,9.086,56,2,,12,,,10,,,9,,,9,,,6,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
502190,9.035,62,2,,11,,,11,,,11,,,10,,,10,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
519144,10.149,63,2,,10,,,11,,,11,,,10,,,11,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
543699,10.085,61,2,,12,,,10,,,10,,,10,,,11,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
547888,11.746,54,2,,10,,,11,,,5,,,9,,,10,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
571666,11.454,61,2,,9,,,12,,,10,,,10,,,11,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
592761,10.929,52,3,,10,,,11,,,11,,,9,,,5,,,6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
592773,4.12,54,2,,7,,,9,,,14,,,11,,,6,,,7,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
607259,10.421,53,4,7.633,15,-26.7,,9,,,5,,,6,,,10,,,8,,"Martinez, Nick",107.0,9.36,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
663372,7.539,57,4,9.16,15,21.5,,8,,,9,,,5,,,10,,,10,,"Feltner, Ryan",154.0,7.82,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
664141,9.036,50,2,,10,,,10,,,10,,,9,,,8,,,3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
664353,10.852,61,4,7.26,15,-33.1,,9,,,10,,,10,,,8,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
668933,8.886,50,3,,10,,,12,,,10,,,9,,,9,,,0,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
676979,16.015,61,2,,12,,,10,,,12,,,8,,,9,,,10,,"Crochet, Garrett",33.0,11.97,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
677651,12.647,60,3,11.95,12,-5.5,,10,,,11,,,7,,,11,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
680730,7.426,58,2,,8,,,10,,,12,,,9,,,11,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
684007,13.93,50,2,,10,,,5,,,5,,,10,,,11,,,9,,"Imanaga, Shota",15.0,13.11,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
694973,17.713,54,2,,5,,,10,,,10,,,9,,,11,,,9,,"Skenes, Paul",3.0,14.8,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",
